"","level","success","success_rate","offered","id","rank","tf","idf","level1","level2","psuccess","lemmaTF","bucket","model_prediction","model_correct"
"level",1,-0.114240359977276,-0.317395098644443,0.155988040040496,0.172679758275156,0.0232996156219357,-0.0485473034165495,-0.0878025815529907,-0.09682356991694,1,-0.32144363146253,-0.0482907832652402,0.32300293814888,-0.258155930627211,-0.0446632476238364
"success",-0.114240359977276,1,0.260345590426929,-0.0292556670598384,-0.122316736539298,-0.0459985011700914,0.0346495419274609,0.0630203669804121,0.0132420896417219,-0.114240359977276,0.0106739701513981,0.0296354167970186,-0.259464249650091,0.00668421091889201,0.767987615284304
"success_rate",-0.317395098644443,0.260345590426929,1,-0.0657047696414614,-0.290456883533963,-0.130811077804513,0.0860080204268389,0.146698394484524,0.0378470576885031,-0.317395098644443,0.0192530600618259,0.0757179366400491,-0.99038069675099,0.00522040785424514,0.195500061244573
"offered",0.155988040040496,-0.0292556670598384,-0.0657047696414614,1,-0.0416449379943194,-0.120093240630498,0.0658509547906334,0.340803885531622,-0.567921111504362,0.155988040040496,0.451343420636894,0.0512901724696637,0.103885291741287,0.294373753203389,-0.0323565750040449
"id",0.172679758275156,-0.122316736539298,-0.290456883533963,-0.0416449379943194,1,0.116031476982313,-0.169591064695127,-0.647871652496112,0.299953097017558,0.172679758275156,-0.323687003897901,-0.132091591287082,0.283808229021807,-0.24274921092764,-0.0721630419720634
"rank",0.0232996156219357,-0.0459985011700914,-0.130811077804513,-0.120093240630498,0.116031476982313,1,-0.0943118919375832,-0.288793132026968,0.22369266499535,0.0232996156219357,-0.189634429699437,-0.096394428255306,0.121411176769052,-0.14308953499874,-0.0252218294213178
"tf",-0.0485473034165495,0.0346495419274609,0.0860080204268389,0.0658509547906334,-0.169591064695127,-0.0943118919375832,1,0.288066040228509,-0.140167722054585,-0.0485473034165495,0.128833146700555,0.938284689996043,-0.0844251389265432,0.0636433437219051,0.0287197442146332
"idf",-0.0878025815529907,0.0630203669804121,0.146698394484524,0.340803885531622,-0.647871652496112,-0.288793132026968,0.288066040228509,1,-0.566577246985058,-0.0878025815529907,0.550428992094893,0.225631050834476,-0.128103256024972,0.358793195022922,0.0302383444151117
"level1",-0.09682356991694,0.0132420896417219,0.0378470576885031,-0.567921111504362,0.299953097017558,0.22369266499535,-0.140167722054585,-0.566577246985058,1,-0.09682356991694,-0.762883747236348,-0.0979992105660986,-0.0630713282418867,-0.663132340052099,0.0326331418063368
"level2",1,-0.114240359977276,-0.317395098644443,0.155988040040496,0.172679758275156,0.0232996156219357,-0.0485473034165495,-0.0878025815529907,-0.09682356991694,1,-0.32144363146253,-0.0482907832652402,0.32300293814888,-0.258155930627211,-0.0446632476238364
"psuccess",-0.32144363146253,0.0106739701513981,0.0192530600618259,0.451343420636894,-0.323687003897901,-0.189634429699437,0.128833146700555,0.550428992094893,-0.762883747236348,-0.32144363146253,1,0.0937717353634189,0.00144226112562131,0.839607900291796,-0.0677217334490356
"lemmaTF",-0.0482907832652402,0.0296354167970186,0.0757179366400491,0.0512901724696637,-0.132091591287082,-0.096394428255306,0.938284689996043,0.225631050834476,-0.0979992105660986,-0.0482907832652402,0.0937717353634189,1,-0.075840812025339,0.0458051240777603,0.0247856383557094
"bucket",0.32300293814888,-0.259464249650091,-0.99038069675099,0.103885291741287,0.283808229021807,0.121411176769052,-0.0844251389265432,-0.128103256024972,-0.0630713282418867,0.32300293814888,0.00144226112562131,-0.075840812025339,1,0.00768314336509336,-0.196076566087154
"model_prediction",-0.258155930627211,0.00668421091889201,0.00522040785424514,0.294373753203389,-0.24274921092764,-0.14308953499874,0.0636433437219051,0.358793195022922,-0.663132340052099,-0.258155930627211,0.839607900291796,0.0458051240777603,0.00768314336509336,1,-0.0795574337936031
"model_correct",-0.0446632476238364,0.767987615284304,0.195500061244573,-0.0323565750040449,-0.0721630419720634,-0.0252218294213178,0.0287197442146332,0.0302383444151117,0.0326331418063368,-0.0446632476238364,-0.0677217334490356,0.0247856383557094,-0.196076566087154,-0.0795574337936031,1
