Unnamed: 0,date,language_x,userid,level,word,guess,success,flight,success_rate,offered,id,rank,pos,tf,idf,level1,level2,psuccess,lemma,lemmaTF,bucket,model_prediction,model_correct,dob,country,language_y
40,11/14/2018 17:46,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,came,vino,True, noflight,39.13043478,23,10421,87.0,VBD,108,0.787234043,1,1,90.90909091,come,3414297,7,True,True,1/1/2007,Colombia,Spanish
25334,11/14/2018 17:47,es,78e160e8-5983-4675-bc50-7507ffd930ff,3,his,su,True, noflight,34.61538462,26,10429,45.0,PRP$,4092,0.978723404,1,3,90.90909091,his,28408939,7,True,True,1/1/2007,Colombia,Spanish
29808,11/14/2018 17:51,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,danced,dansado,False, noflight,22.22222222,18,17481,3215.0,VBN,4,0.021276596000000002,2,5,81.81818182,dance,33350,8,True,False,1/1/2007,Colombia,Spanish
42672,11/14/2018 17:46,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,along,a lo largo,True, noflight,11.11111111,18,12278,463.0,IN,246,0.765957447,1,5,90.90909091,along,3135859,9,True,True,1/1/2007,Colombia,Spanish
48299,11/14/2018 17:53,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,pile,pila,True, noflight,30.43478261,23,12500,7798.0,NN,88,0.5106382979999999,2,1,81.81818182,pile,159198,7,True,True,1/1/2007,Colombia,Spanish
71444,11/14/2018 17:53,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,last,Ãºltimo,True, noflight,27.27272727,22,12180,152.0,JJ,305,0.957446809,1,5,90.90909091,last,7935918,8,True,True,1/1/2007,Colombia,Spanish
79673,11/14/2018 17:47,es,78e160e8-5983-4675-bc50-7507ffd930ff,2,cry,llorar,True, noflight,83.33333333,30,10820,6156.0,NN,69,0.595744681,2,2,81.81818182,cry,128772,2,True,True,1/1/2007,Colombia,Spanish
114639,11/14/2018 17:50,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,finger,dedo,True, noflight,60.71428571,28,10231,1882.0,NN,73,0.446808511,2,1,81.81818182,finger,368540,4,True,True,1/1/2007,Colombia,Spanish
118122,11/14/2018 17:47,es,78e160e8-5983-4675-bc50-7507ffd930ff,3,listening,escuchando,True, noflight,55.55555556,54,16627,1173.0,VBG,43,0.5106382979999999,2,3,81.81818182,listen,363707,5,True,True,1/1/2007,Colombia,Spanish
118123,11/14/2018 17:47,es,78e160e8-5983-4675-bc50-7507ffd930ff,3,listening,escuchando,True, noflight,55.55555556,54,12520,8039.0,VBG,43,0.5106382979999999,2,3,81.81818182,listen,363707,5,True,True,1/1/2007,Colombia,Spanish
122542,11/14/2018 17:45,es,78e160e8-5983-4675-bc50-7507ffd930ff,7,wide,not,False, noflight,44.44444444,27,12674,7405.0,JJ,60,0.404255319,2,7,81.81818182,wide,1617268,6,True,False,1/1/2007,Colombia,Spanish
138530,11/14/2018 17:50,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,until,hasta,True, noflight,37.5,16,12253,343.0,IN,201,0.808510638,1,1,90.90909091,until,4071073,7,True,True,1/1/2007,Colombia,Spanish
147613,11/14/2018 17:54,es,78e160e8-5983-4675-bc50-7507ffd930ff,6,followed,seguido,True, noflight,26.08695652,23,12537,250.0,VBD,57,0.489361702,2,6,81.81818182,follow,1140445,8,True,True,1/1/2007,Colombia,Spanish
153807,11/14/2018 17:48,es,78e160e8-5983-4675-bc50-7507ffd930ff,6,charms,encantos,True, noflight,30.0,20,17855,12773.0,N,0,0.0,2,6,81.81818182,charm,45384,7,True,True,1/1/2007,Colombia,Spanish
156887,11/14/2018 17:54,es,78e160e8-5983-4675-bc50-7507ffd930ff,2,hearing,audiciÃ³n,True, noflight,40.90909091,22,12553,375.0,NN,38,0.489361702,2,2,81.81818182,hear,386287,6,True,True,1/1/2007,Colombia,Spanish
