,Unnamed: 0,date,language_x,userid,level,word,guess,success,flight,success_rate,offered,id,rank,pos,tf,idf,level1,level2,psuccess,lemma,lemmaTF,bucket,model_prediction,model_correct,dob,country,language_y,age
0,1,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,came,vino,True, noflight,39.13043478,23,10421,87.0,VBD,108,0.787234043,1,1,90.90909091,come,3414297,7,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
1,2,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,3,his,su,True, noflight,34.61538462,26,10429,45.0,PRP$,4092,0.978723404,1,3,90.90909091,his,28408939,7,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
2,3,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,danced,dansado,False, noflight,22.22222222,18,17481,3215.0,VBN,4,0.021276596000000002,2,5,81.81818182,dance,33350,8,True,False,2007-01-01,Colombia,Spanish,11.868843123189599
3,4,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,along,a lo largo,True, noflight,11.11111111,18,12278,463.0,IN,246,0.765957447,1,5,90.90909091,along,3135859,9,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
4,5,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,pile,pila,True, noflight,30.43478261,23,12500,7798.0,NN,88,0.5106382979999999,2,1,81.81818182,pile,159198,7,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
5,6,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,last,Ãºltimo,True, noflight,27.27272727,22,12180,152.0,JJ,305,0.957446809,1,5,90.90909091,last,7935918,8,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
6,7,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,2,cry,llorar,True, noflight,83.33333333,30,10820,6156.0,NN,69,0.595744681,2,2,81.81818182,cry,128772,2,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
7,8,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,finger,dedo,True, noflight,60.71428571,28,10231,1882.0,NN,73,0.446808511,2,1,81.81818182,finger,368540,4,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
8,9,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,3,listening,escuchando,True, noflight,55.55555556,54,16627,1173.0,VBG,43,0.5106382979999999,2,3,81.81818182,listen,363707,5,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
9,10,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,3,listening,escuchando,True, noflight,55.55555556,54,12520,8039.0,VBG,43,0.5106382979999999,2,3,81.81818182,listen,363707,5,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
10,11,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,7,wide,not,False, noflight,44.44444444,27,12674,7405.0,JJ,60,0.404255319,2,7,81.81818182,wide,1617268,6,True,False,2007-01-01,Colombia,Spanish,11.868843123189599
11,12,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,1,until,hasta,True, noflight,37.5,16,12253,343.0,IN,201,0.808510638,1,1,90.90909091,until,4071073,7,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
12,13,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,6,followed,seguido,True, noflight,26.08695652,23,12537,250.0,VBD,57,0.489361702,2,6,81.81818182,follow,1140445,8,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
13,14,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,6,charms,encantos,True, noflight,30.0,20,17855,12773.0,N,0,0.0,2,6,81.81818182,charm,45384,7,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
14,15,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,2,hearing,audiciÃ³n,True, noflight,40.90909091,22,12553,375.0,NN,38,0.489361702,2,2,81.81818182,hear,386287,6,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
15,16,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,reacted,reaccionar,False, noflight,0.0,26,17527,3320.0,V,0,0.0,2,5,81.81818182,react,41308,10,True,False,2007-01-01,Colombia,Spanish,11.868843123189599
16,17,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,11,guessing,adivinacion,False, noflight,13.63636364,22,16691,5418.0,VBG,4,0.08510638300000001,1,11,0.0,guess,129543,9,False,True,2007-01-01,Colombia,Spanish,11.868843123189599
17,18,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,7,smoking,ropa,False, noflight,33.33333333,27,17580,3566.0,NN,14,0.191489362,2,7,54.54545455,smoke,96795,7,True,False,2007-01-01,Colombia,Spanish,11.868843123189599
18,19,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,7,smoking,ropa,False, noflight,33.33333333,27,13659,6933.0,NN,14,0.191489362,5,7,54.54545455,smoke,96795,7,True,False,2007-01-01,Colombia,Spanish,11.868843123189599
19,20,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,5,roof,techo,True, noflight,40.0,25,12421,2409.0,NN,128,0.574468085,1,5,90.90909091,roof,493752,6,True,True,2007-01-01,Colombia,Spanish,11.868843123189599
20,21,2018-11-14,es,78e160e8-5983-4675-bc50-7507ffd930ff,11,serious,grave,True, noflight,71.42857143,28,11791,1206.0,JJ,37,0.46808510600000003,2,11,0.0,serious,1290011,3,False,False,2007-01-01,Colombia,Spanish,11.868843123189599
21,22,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,1,came,vino,True, languagerank,39.13043478,23,10421,87.0,VBD,108,0.787234043,1,1,90.90909091,come,3414297,7,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
24,25,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,1,lips,labios,True, languagerank,80.0,10,12981,3051.0,NNS,34,0.29787234,3,1,72.72727273,lip,206405,2,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
25,26,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,2,sound,sonido,True, languagerank,73.91304348,23,12240,733.0,NN,167,0.8297872340000001,1,2,90.90909091,sound,1693512,3,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
27,28,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,1,girl,chica,True, languagerank,76.92307692,26,10037,696.0,NN,316,0.8297872340000001,1,1,90.90909091,girl,1162727,3,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
28,29,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,2,systems,sistema,False, languagerank,70.0,10,16117,128.0,NNS,4,0.063829787,4,2,63.63636364,system,2411614,3,True,False,1999-01-01,Ecuador,Spanish,19.8881837247633
29,30,2018-11-22,es,a6de1ead-0aca-4392-b748-ad104311e010,2,year,aÃ±o,True, noflight,60.0,25,10274,51.0,NN,63,0.574468085,2,2,81.81818182,year,11953901,4,True,True,1999-01-01,Ecuador,Spanish,19.8909216355184
30,31,2018-11-22,es,a6de1ead-0aca-4392-b748-ad104311e010,2,year,aÃ±o,True, noflight,60.0,25,10274,51.0,NN,63,0.574468085,2,2,81.81818182,year,11953901,4,True,True,1999-01-01,Ecuador,Spanish,19.8909216355184
31,32,2018-11-22,es,a6de1ead-0aca-4392-b748-ad104311e010,1,us,nosotros,True, noflight,31.57894737,19,10448,117.0,PRP,672,0.957446809,1,1,90.90909091,us,10357927,7,True,True,1999-01-01,Ecuador,Spanish,19.8909216355184
33,34,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,1,contact,contacto,True, languagerank,70.0,10,13137,735.0,NN,16,0.276595745,4,1,63.63636364,contact,1726184,3,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
34,35,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,1,football,futbol,True, languagerank,76.47058824,17,10549,1526.0,NN,4,0.08510638300000001,2,1,81.81818182,football,949005,3,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
36,37,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,2,finished,finalizado,False, languagerank,30.55555556,36,12521,5060.0,VBN,43,0.5106382979999999,2,2,81.81818182,finish,912189,7,True,False,1999-01-01,Ecuador,Spanish,19.8881837247633
37,38,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,2,finished,finalizado,False, languagerank,30.55555556,36,16456,1786.0,VBN,43,0.5106382979999999,3,2,81.81818182,finish,912189,7,True,False,1999-01-01,Ecuador,Spanish,19.8881837247633
38,39,2018-11-22,es,a6de1ead-0aca-4392-b748-ad104311e010,1,fact,hecho,True, noflight,36.0,25,12522,333.0,NN,41,0.5106382979999999,2,1,81.81818182,fact,3523545,7,True,True,1999-01-01,Ecuador,Spanish,19.8909216355184
41,42,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,2,stuck,atascado,True, languagerank,25.0,56,16674,2333.0,NN,95,0.659574468,2,2,90.90909091,stick,431493,8,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
42,43,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,2,stuck,atascado,True, languagerank,25.0,56,12330,6692.0,NN,95,0.659574468,1,2,90.90909091,stick,431493,8,True,True,1999-01-01,Ecuador,Spanish,19.8881837247633
43,44,2018-11-22,es,a6de1ead-0aca-4392-b748-ad104311e010,3,everywhere,cualquier,False, noflight,33.33333333,27,12413,2693.0,RB,60,0.595744681,2,3,81.81818182,everywhere,473944,7,True,False,1999-01-01,Ecuador,Spanish,19.8909216355184
44,45,2018-11-22,es,a6de1ead-0aca-4392-b748-ad104311e010,2,warm,caliente,True, noflight,54.54545455,22,10494,3780.0,NN,48,0.5106382979999999,2,2,81.81818182,warm,888603,5,True,True,1999-01-01,Ecuador,Spanish,19.8909216355184
45,46,2018-11-21,es,a6de1ead-0aca-4392-b748-ad104311e010,1,drive,conductor,False, languagerank,60.0,20,9696,600.0,NN,76,0.36170212799999996,2,1,81.81818182,drive,1051285,4,True,False,1999-01-01,Ecuador,Spanish,19.8881837247633
